x;f;L_3;Lopt_3;N_3;Nopt_3;S1_3;S2_3;S3_3;L_5;Lopt_5;N_5;Nopt_5;S1_5;S2_5;S3_5;L_10;Lopt_10;N_10;Nopt_10;S1_10;S2_10;S3_10;L_20;Lopt_20;N_20;Nopt_20;S1_20;S2_20;S3_20;L_50;Lopt_50;N_50;Nopt_50;S1_50;S2_50;S3_50;L_100;Lopt_100;N_100;Nopt_100;S1_100;S2_100;S3_100
-0.6;-0.46033467208545054;-0.4591123128230863;-0.45954360315702364;-0.4591123128230862;-0.45954360315702353;-0.5703937558094461;-0.458290753329517;-0.4604369518415595;-0.4603346720854502;-0.4603664001903093;-0.46033467208545054;-0.46036640019030933;-0.46033467208545065;-0.46033467208545054;-0.4603346720854505;-0.46033467208544565;-0.4603346819578996;-0.4603346720854506;-0.4603346819578796;-0.46033467208545054;-0.46033467208545054;-0.46033467208545054;-0.46033467234019043;-0.4603346724591186;-0.46033467208545065;-0.46033467208544976;-0.4603346720854504;-0.4603346720854506;-0.4603346720854512;11678.71251813954;-0.32263871469211836;-0.46033467208821377;-0.46033467208532375;-0.4603346720854504;-0.4603346720854506;-0.4603346720841728;931726977821557600000000000;802305274403898900;52855706516.264145;316829022.92841774;-0.46033467208545054;-0.46033467208545054;-0.46033573150634766
-0.5800000000000001;-0.4266437899097856;-0.4254805688559121;-0.4258961624951996;-0.42548056885591207;-0.42589616249519957;-0.5334466311194375;-0.42456658996080626;-0.42675531003086864;-0.42665002445683736;-0.42667962892723266;-0.42665002445683764;-0.4266796289272327;-0.4343012048769056;-0.426789848860227;-0.42663706114051525;-0.42664379181145945;-0.42664379684990344;-0.42664379181146317;-0.42664379684989007;-0.4303012048769056;-0.42663247848658736;-0.4266250353318167;-0.4266437900834858;-0.42664379007664244;-0.42664378990978574;-0.42664378990978513;-0.42827607934346834;-0.42663870206625604;-0.42625909252103966;4117.1824413075165;-0.2923099263414457;-0.42664378991077856;-0.4266437899097128;-0.4270528883967617;-0.42664176646078567;0.5677893059291819;145894874928000000000000000;185606557269585340;8237199545.547065;627630266.6377788;-0.4266437899097856;-0.4266437899097856;-0.4266624450683594
-0.56;-0.39377110470807264;-0.3926747738375903;-0.39307467311420896;-0.3926747738375902;-0.39307467311420885;-0.49649950642942864;-0.39168319911069477;-0.3938905642803305;-0.39378292193910897;-0.39381028694762166;-0.39378292193910924;-0.3938102869476216;-0.40826773766836055;-0.3940356946893905;-0.3937556516234478;-0.39377110795197423;-0.39377110823357353;-0.39377110795197706;-0.39377110823356615;-0.40026773766836055;-0.39374555741890577;-0.39373059122326093;-0.3937711048267003;-0.39377110466339255;-0.39377110470807275;-0.3937711047080726;-0.3962174866014859;-0.39376142068566755;-0.3929901630622912;1402.8605309124166;0.030282831966244927;-0.3937711047084119;-0.3937711047080303;-0.39377110470807264;-0.3937711047080727;-0.39377110472196364;21231198466393830000000000;40829851774794280;1175475018.869553;563122238.8519162;-0.39377110470807264;-0.39377110470807275;-0.393768310546875
-0.54;-0.36171455787200274;-0.36069223960046903;-0.3610764877774383;-0.360692239600469;-0.3610764877774382;-0.4595523817394197;-0.3596405807791828;-0.3618403001166194;-0.3617312509000862;-0.3617562729025753;-0.3617312509000864;-0.3617562729025753;-0.3822342704598155;-0.3620722095729413;-0.36168886862497907;-0.361714561895793;-0.3617145577543168;-0.36171456189579504;-0.36171455775431477;-0.3702342704598155;-0.3616739088824061;-0.36165198997996983;-0.3617145579532776;-0.36171455765653976;-0.3617145578720029;-0.3617145578720031;-0.3641588938595035;-0.3617028279436852;-0.36072972701475703;460.5614307826505;-0.12458790761381744;-0.36171455787211265;-0.3617145578719776;-0.362121604269685;-0.36171658458051037;-4.072989393534954;2872200253869823500000000;8434470530368474;153844121.41849247;409342254.5196485;-0.3617145578720028;-0.36171455787200274;-0.36151123046875
-0.52;-0.3304721038312973;-0.3295302779768962;-0.3298989592482745;-0.3295302779768961;-0.32989895924827434;-0.4226052570494109;-0.3284387349662703;-0.33060210306640914;-0.33049292671492375;-0.3305155146881566;-0.3304929267149239;-0.3305155146881567;-0.35620080325127035;-0.33089939351087927;-0.33043513723583945;-0.33047210811478106;-0.33047210009316774;-0.33047210811478245;-0.33047210009316996;-0.34020080325127033;-0.3304175328770883;-0.3303898818221298;-0.33047210388713244;-0.3304721035156375;-0.3304721038312972;-0.3304721038312978;-0.3321003011175212;-0.33046292384030895;-0.32967962768398873;145.12359375239672;-0.4769116257290117;-0.33047210383133274;-0.330472103831282;-0.3304721038312973;-0.3304721038312974;-0.3304721038439311;360494395929285900000000;1627491345908400.3;18382727.107514895;267751676.92892522;-0.33047210383129727;-0.3304721038312973;-0.3309326171875
-0.5;-0.3000417083755388;-0.29918620079922004;-0.29953944029010393;-0.2991862007992199;-0.2995394402901038;-0.38565813235940194;-0.29807766167195726;-0.3001735586563738;-0.30006589112404947;-0.30008596677070126;-0.30006589112404963;-0.3000859667707013;-0.3301673360427253;-0.30051724650320444;-0.2999928825467596;-0.30004171247326583;-0.30004170127384117;-0.3000417124732666;-0.3000417012738466;-0.3101673360427253;-0.29997642940295227;-0.29994491696992726;-0.30004170841388816;-0.30004170804096447;-0.30004170837553873;-0.30004170837553945;-0.3000417083755388;-0.30004170837553873;-0.30004170837553745;43.6334356956625;-0.5847193475492235;-0.30004170837555033;-0.30004170837552935;-0.300446725413406;-0.3000396840923324;13.550624541239813;41805876541046330000000;292515832453680.25;1982076.419253785;163802703.63669863;-0.3000417083755388;-0.3000417083755388;-0.29833984375
-0.48;-0.27042134699551457;-0.2696573198997883;-0.2699952836663134;-0.2696573198997882;-0.26999528366631337;-0.348711007669393;-0.2685573608962437;-0.2705522524131872;-0.2704481095911029;-0.27046560751212606;-0.270448109591103;-0.27046560751212617;-0.30413386883418025;-0.2709257685499169;-0.27036052964847024;-0.27042135055755545;-0.2704213369919695;-0.27042135055755606;-0.2704213369919775;-0.28013386883418023;-0.2703505984599981;-0.27031774564354855;-0.2704213470217111;-0.270421346715932;-0.27042134699551446;-0.2704213469955152;-0.272033366700431;-0.2704305431241435;-0.27185701777205784;12.361858528102587;-0.3778912050008063;-0.2704213469955173;-0.2704213469955086;-0.2704213469955147;-0.27042134699551457;-0.27042134704242926;4449987975280445000000;48847994420998.13;188295.9010456435;95493004.04132663;-0.27042134699551457;-0.27042134699551457;-0.2734375
-0.45999999999999996;-0.24160900324118065;-0.24094094711094924;-0.2412638421402896;-0.24094094711094916;-0.24126384214028956;-0.3117638829793842;-0.23987783263912957;-0.24173576986352335;-0.24163756866087419;-0.2416524364952373;-0.24163756866087432;-0.24165243649523738;-0.2781004016256351;-0.24212495965101652;-0.2415365036317019;-0.24160900602319013;-0.2416089909638323;-0.24160900602319038;-0.2416089909638419;-0.25010040162563507;-0.24154004004822577;-0.24150901806318;-0.24160900325885964;-0.24160900306946548;-0.24160900324118068;-0.24160900324118093;-0.2440250250253232;-0.241620789660892;-0.2445234260646041;3.183177769820847;-0.11897618260357361;-0.24160900324118123;-0.24160900324117682;-0.24201200704445847;-0.24161102913211435;-51.932999164331704;430377066383002440000;7552393240899.686;14948.73545034329;53612276.56245492;-0.24160900324118062;-0.24160900324118065;-0.2421875
-0.43999999999999995;-0.21360266709340237;-0.2130343942650508;-0.21334246847541918;-0.21303439426505072;-0.2133424684754191;-0.27481675828937524;-0.212039076900615;-0.2137216965340563;-0.21363227331724316;-0.21364447184903945;-0.21363227331724327;-0.21364447184903948;-0.25206693441709005;-0.2141148198065034;-0.21351922958718517;-0.21360266895742525;-0.21360265329178837;-0.21360266895742533;-0.21360265329179876;-0.22006693441709002;-0.2135447541676353;-0.2135193844490082;-0.2136026671051063;-0.21360266705398964;-0.21360266709340228;-0.21360266709340234;-0.2160166833502154;-0.21361244798578424;-0.2172780088213373;0.6472212800787447;-0.05203140694247319;-0.21360266709340275;-0.2136026670933999;-0.21360266709340237;-0.2136026670934024;-0.21360266726696864;37211461271716340000;1075266783370.2943;845.5810833229757;29176332.503737766;-0.21360266709340237;-0.21360266709340234;-0.171875
-0.42000000000000004;-0.18640033334666725;-0.18593497319444113;-0.18622851543508886;-0.18593497319444105;-0.18622851543508884;-0.23786963359936664;-0.18504109368069996;-0.18650761795145998;-0.18643024434111788;-0.1864397475740435;-0.18643024434111796;-0.1864397475740435;-0.2260334672085451;-0.18689534901637767;-0.1863071326056508;-0.18640033425435584;-0.1864003188435408;-0.1864003342543558;-0.18640031884355115;-0.19003346720854508;-0.1863647408182268;-0.1863494950212195;-0.18640033335422226;-0.18640033343470208;-0.1864003333466672;-0.1864003333466669;-0.18800834167510783;-0.18640551809882033;-0.18935784161041624;0.009046071688427299;-0.1694244580356085;-0.1864003333466676;-0.18640033334666556;-0.18680133354670136;-0.18639830825686796;192.7284940625541;2795497309629030000;139790316977.77057;4.948783642290409;15455790.253154004;-0.18640033334666728;-0.18640033334666728;-0.1875
